,id,name,category,source,qasm_path,num_qubits,initial_depth,initial_two_qubit_gates,initial_two_qubit_depth,initial_total_gates,gate_density,two_qubit_ratio,created_at,optimizer_chain,original_circuit
10,11,barenco_tof_5,feynman,local,benchmarks/ai_transpile/qasm/feynman/barenco_tof_5.qasm,9,38,0,0,50,5.555555555555555,0.0,2026-03-05 20:39:32,,barenco_tof_5
11,12,bigadder,feynman,local,benchmarks/ai_transpile/qasm/feynman/bigadder.qasm,18,4,0,0,21,1.1666666666666667,0.0,2026-03-05 20:39:32,,bigadder
12,13,csla_mux_3,feynman,local,benchmarks/ai_transpile/qasm/feynman/csla_mux_3.qasm,15,24,20,0,70,4.666666666666667,0.2857142857142857,2026-03-05 20:39:32,,csla_mux_3
13,14,gf2^4_mult,feynman,local,benchmarks/ai_transpile/qasm/feynman/gf2^4_mult.qasm,12,31,3,0,65,5.416666666666667,0.046153846153846156,2026-03-05 20:39:32,,gf2^4_mult
14,15,gf2^5_mult,feynman,local,benchmarks/ai_transpile/qasm/feynman/gf2^5_mult.qasm,15,38,4,0,97,6.466666666666667,0.041237113402061855,2026-03-05 20:39:32,,gf2^5_mult
15,16,gf2^6_mult,feynman,local,benchmarks/ai_transpile/qasm/feynman/gf2^6_mult.qasm,18,47,5,0,135,7.5,0.037037037037037035,2026-03-05 20:39:32,,gf2^6_mult
16,17,grover_5,feynman,local,benchmarks/ai_transpile/qasm/feynman/grover_5.qasm,9,160,0,0,351,39.0,0.0,2026-03-05 20:39:32,,grover_5
17,18,ham15-high,feynman,local,benchmarks/ai_transpile/qasm/feynman/ham15-high.qasm,20,1022,43,0,1798,89.9,0.023915461624026697,2026-03-05 20:39:32,,ham15-high
18,19,ham15-low,feynman,local,benchmarks/ai_transpile/qasm/feynman/ham15-low.qasm,17,129,98,0,213,12.529411764705882,0.460093896713615,2026-03-05 20:39:32,,ham15-low
19,20,ham15-med,feynman,local,benchmarks/ai_transpile/qasm/feynman/ham15-med.qasm,17,255,42,0,452,26.58823529411765,0.09292035398230089,2026-03-05 20:39:32,,ham15-med
20,21,hwb10,feynman,local,benchmarks/ai_transpile/qasm/feynman/hwb10.qasm,16,18050,9508,0,31764,1985.25,0.29933257776098726,2026-03-05 20:39:32,,hwb10
21,22,hwb11,feynman,local,benchmarks/ai_transpile/qasm/feynman/hwb11.qasm,15,52290,25855,0,87789,5852.6,0.29451297998610304,2026-03-05 20:39:32,,hwb11
22,23,hwb12,feynman,local,benchmarks/ai_transpile/qasm/feynman/hwb12.qasm,20,98611,44833,0,171482,8574.1,0.26144434984429854,2026-03-05 20:39:32,,hwb12
23,24,hwb6,feynman,local,benchmarks/ai_transpile/qasm/feynman/hwb6.qasm,7,62,26,0,109,15.571428571428571,0.23853211009174313,2026-03-05 20:39:32,,hwb6
24,25,hwb8,feynman,local,benchmarks/ai_transpile/qasm/feynman/hwb8.qasm,12,3855,2083,0,6446,537.1666666666666,0.3231461371393112,2026-03-05 20:39:32,,hwb8
25,26,inverseqft1,feynman,local,benchmarks/ai_transpile/qasm/feynman/inverseqft1.qasm,4,20,0,0,24,6.0,0.0,2026-03-05 20:39:32,,inverseqft1
26,27,inverseqft2,feynman,local,benchmarks/ai_transpile/qasm/feynman/inverseqft2.qasm,4,12,0,0,19,4.75,0.0,2026-03-05 20:39:32,,inverseqft2
27,28,mod5_4,feynman,local,benchmarks/ai_transpile/qasm/feynman/mod5_4.qasm,5,23,4,0,23,4.6,0.17391304347826086,2026-03-05 20:39:32,,mod5_4
28,29,mod_mult_55,feynman,local,benchmarks/ai_transpile/qasm/feynman/mod_mult_55.qasm,9,20,6,0,49,5.444444444444445,0.12244897959183673,2026-03-05 20:39:32,,mod_mult_55
29,30,mod_red_21,feynman,local,benchmarks/ai_transpile/qasm/feynman/mod_red_21.qasm,11,58,3,0,108,9.818181818181818,0.027777777777777776,2026-03-05 20:39:32,,mod_red_21
30,31,qec,feynman,local,benchmarks/ai_transpile/qasm/feynman/qec.qasm,5,7,0,0,11,2.2,0.0,2026-03-05 20:39:32,,qec
31,32,qft,feynman,local,benchmarks/ai_transpile/qasm/feynman/qft.qasm,4,9,6,5,17,4.25,0.35294117647058826,2026-03-05 20:39:32,,qft
32,33,qft_4,feynman,local,benchmarks/ai_transpile/qasm/feynman/qft_4.qasm,5,134,34,0,159,31.8,0.2138364779874214,2026-03-05 20:39:33,,qft_4
33,34,qpt,feynman,local,benchmarks/ai_transpile/qasm/feynman/qpt.qasm,1,4,0,0,6,6.0,0.0,2026-03-05 20:39:33,,qpt
34,35,rb,feynman,local,benchmarks/ai_transpile/qasm/feynman/rb.qasm,2,8,6,2,13,6.5,0.46153846153846156,2026-03-05 20:39:33,,rb
35,36,rc_adder_6,feynman,local,benchmarks/ai_transpile/qasm/feynman/rc_adder_6.qasm,14,40,27,0,90,6.428571428571429,0.3,2026-03-05 20:39:33,,rc_adder_6
36,37,teleport,feynman,local,benchmarks/ai_transpile/qasm/feynman/teleport.qasm,3,9,2,2,12,4.0,0.16666666666666666,2026-03-05 20:39:33,,teleport
37,38,teleportv2,feynman,local,benchmarks/ai_transpile/qasm/feynman/teleportv2.qasm,3,10,2,2,13,4.333333333333333,0.15384615384615385,2026-03-05 20:39:33,,teleportv2
38,39,tof_10,feynman,local,benchmarks/ai_transpile/qasm/feynman/tof_10.qasm,19,53,0,0,85,4.473684210526316,0.0,2026-03-05 20:39:33,,tof_10
39,40,tof_3,feynman,local,benchmarks/ai_transpile/qasm/feynman/tof_3.qasm,5,11,0,0,15,3.0,0.0,2026-03-05 20:39:33,,tof_3
40,41,tof_4,feynman,local,benchmarks/ai_transpile/qasm/feynman/tof_4.qasm,7,17,0,0,25,3.5714285714285716,0.0,2026-03-05 20:39:33,,tof_4
41,42,tof_5,feynman,local,benchmarks/ai_transpile/qasm/feynman/tof_5.qasm,9,23,0,0,35,3.888888888888889,0.0,2026-03-05 20:39:33,,tof_5
42,43,vbe_adder_3,feynman,local,benchmarks/ai_transpile/qasm/feynman/vbe_adder_3.qasm,10,28,10,0,50,5.0,0.2,2026-03-05 20:39:33,,vbe_adder_3
43,44,qaoa_barabasi_albert_N10_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N10_3reps.qasm,10,83,96,52,194,19.4,0.4948453608247423,2026-03-05 20:39:33,,qaoa_barabasi_albert_N10_3reps
44,45,qaoa_barabasi_albert_N11_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N11_3reps.qasm,11,86,108,54,217,19.727272727272727,0.4976958525345622,2026-03-05 20:39:33,,qaoa_barabasi_albert_N11_3reps
45,46,qaoa_barabasi_albert_N12_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N12_3reps.qasm,12,89,120,56,240,20.0,0.5,2026-03-05 20:39:33,,qaoa_barabasi_albert_N12_3reps
46,47,qaoa_barabasi_albert_N13_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N13_3reps.qasm,13,95,132,60,263,20.23076923076923,0.5019011406844106,2026-03-05 20:39:33,,qaoa_barabasi_albert_N13_3reps
47,48,qaoa_barabasi_albert_N14_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N14_3reps.qasm,14,98,144,62,286,20.428571428571427,0.5034965034965035,2026-03-05 20:39:33,,qaoa_barabasi_albert_N14_3reps
48,49,qaoa_barabasi_albert_N15_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N15_3reps.qasm,15,104,156,66,309,20.6,0.5048543689320388,2026-03-05 20:39:33,,qaoa_barabasi_albert_N15_3reps
49,50,qaoa_barabasi_albert_N16_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N16_3reps.qasm,16,110,168,70,332,20.75,0.5060240963855421,2026-03-05 20:39:33,,qaoa_barabasi_albert_N16_3reps
50,51,qaoa_barabasi_albert_N17_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N17_3reps.qasm,17,119,180,76,355,20.88235294117647,0.5070422535211268,2026-03-05 20:39:33,,qaoa_barabasi_albert_N17_3reps
51,52,qaoa_barabasi_albert_N18_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N18_3reps.qasm,18,128,192,82,378,21.0,0.5079365079365079,2026-03-05 20:39:33,,qaoa_barabasi_albert_N18_3reps
52,53,qaoa_barabasi_albert_N19_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N19_3reps.qasm,19,140,204,90,401,21.105263157894736,0.5087281795511222,2026-03-05 20:39:33,,qaoa_barabasi_albert_N19_3reps
53,54,qaoa_barabasi_albert_N20_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N20_3reps.qasm,20,149,216,96,424,21.2,0.5094339622641509,2026-03-05 20:39:33,,qaoa_barabasi_albert_N20_3reps
54,55,qaoa_barabasi_albert_N3_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N3_3reps.qasm,3,23,12,12,33,11.0,0.36363636363636365,2026-03-05 20:39:33,,qaoa_barabasi_albert_N3_3reps
55,56,qaoa_barabasi_albert_N4_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N4_3reps.qasm,4,41,24,24,56,14.0,0.42857142857142855,2026-03-05 20:39:33,,qaoa_barabasi_albert_N4_3reps
56,57,qaoa_barabasi_albert_N5_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N5_3reps.qasm,5,53,36,32,79,15.8,0.45569620253164556,2026-03-05 20:39:33,,qaoa_barabasi_albert_N5_3reps
57,58,qaoa_barabasi_albert_N6_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N6_3reps.qasm,6,62,48,38,102,17.0,0.47058823529411764,2026-03-05 20:39:33,,qaoa_barabasi_albert_N6_3reps
58,59,qaoa_barabasi_albert_N7_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N7_3reps.qasm,7,65,60,40,125,17.857142857142858,0.48,2026-03-05 20:39:33,,qaoa_barabasi_albert_N7_3reps
59,60,qaoa_barabasi_albert_N8_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N8_3reps.qasm,8,68,72,42,148,18.5,0.4864864864864865,2026-03-05 20:39:33,,qaoa_barabasi_albert_N8_3reps
60,61,qaoa_barabasi_albert_N9_3reps,qaoa,local,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N9_3reps.qasm,9,77,84,48,171,19.0,0.49122807017543857,2026-03-05 20:39:33,,qaoa_barabasi_albert_N9_3reps
61,62,qft_10,qft,local,benchmarks/ai_transpile/qasm/qft_10.qasm,10,74,105,37,250,25.0,0.42,2026-03-05 20:39:33,,qft_10
62,63,qft_12,qft,local,benchmarks/ai_transpile/qasm/qft_12.qasm,12,90,150,45,360,30.0,0.4166666666666667,2026-03-05 20:39:33,,qft_12
63,64,qft_16,qft,local,benchmarks/ai_transpile/qasm/qft_16.qasm,16,122,264,61,640,40.0,0.4125,2026-03-05 20:39:33,,qft_16
64,65,qft_8,qft,local,benchmarks/ai_transpile/qasm/qft_8.qasm,8,15,28,13,36,4.5,0.7777777777777778,2026-03-05 20:39:33,,qft_8
65,66,qft_N002,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N002.qasm,2,12,5,5,12,6.0,0.4166666666666667,2026-03-05 20:39:33,,qft_N002
66,67,qft_N003,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N003.qasm,3,20,9,9,24,8.0,0.375,2026-03-05 20:39:33,,qft_N003
67,68,qft_N004,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N004.qasm,4,28,18,13,44,11.0,0.4090909090909091,2026-03-05 20:39:33,,qft_N004
68,69,qft_N005,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N005.qasm,5,36,26,17,66,13.2,0.3939393939393939,2026-03-05 20:39:33,,qft_N005
69,70,qft_N006,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N006.qasm,6,44,39,21,96,16.0,0.40625,2026-03-05 20:39:33,,qft_N006
70,71,qft_N007,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N007.qasm,7,52,51,25,128,18.285714285714285,0.3984375,2026-03-05 20:39:33,,qft_N007
71,72,qft_N008,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N008.qasm,8,60,68,29,168,21.0,0.40476190476190477,2026-03-05 20:39:33,,qft_N008
72,73,qft_N009,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N009.qasm,9,68,84,33,210,23.333333333333332,0.4,2026-03-05 20:39:33,,qft_N009
73,74,qft_N010,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N010.qasm,10,76,105,37,260,26.0,0.40384615384615385,2026-03-05 20:39:33,,qft_N010
74,75,qft_N011,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N011.qasm,11,84,125,41,312,28.363636363636363,0.40064102564102566,2026-03-05 20:39:34,,qft_N011
75,76,qft_N012,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N012.qasm,12,92,150,45,372,31.0,0.4032258064516129,2026-03-05 20:39:34,,qft_N012
76,77,qft_N013,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N013.qasm,13,100,174,49,434,33.38461538461539,0.4009216589861751,2026-03-05 20:39:34,,qft_N013
77,78,qft_N014,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N014.qasm,14,108,203,53,504,36.0,0.4027777777777778,2026-03-05 20:39:34,,qft_N014
78,79,qft_N015,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N015.qasm,15,116,231,57,576,38.4,0.4010416666666667,2026-03-05 20:39:34,,qft_N015
79,80,qft_N016,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N016.qasm,16,124,264,61,656,41.0,0.4024390243902439,2026-03-05 20:39:34,,qft_N016
80,81,qft_N017,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N017.qasm,17,132,296,65,738,43.411764705882355,0.4010840108401084,2026-03-05 20:39:34,,qft_N017
81,82,qft_N018,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N018.qasm,18,140,333,69,828,46.0,0.40217391304347827,2026-03-05 20:39:34,,qft_N018
82,83,qft_N019,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N019.qasm,19,148,369,73,920,48.421052631578945,0.40108695652173915,2026-03-05 20:39:34,,qft_N019
83,84,qft_N020,qft,local,benchmarks/ai_transpile/qasm/qft/qft_N020.qasm,20,156,410,77,1020,51.0,0.4019607843137255,2026-03-05 20:39:34,,qft_N020
84,85,qv_N002_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N002_12345.qasm,2,46,6,6,86,43.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N002_12345
85,86,qv_N003_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N003_12345.qasm,3,69,9,9,129,43.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N003_12345
86,87,qv_N004_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N004_12345.qasm,4,92,24,12,344,86.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N004_12345
87,88,qv_N005_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N005_12345.qasm,5,115,30,15,430,86.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N005_12345
88,89,qv_N006_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N006_12345.qasm,6,138,54,18,774,129.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N006_12345
89,90,qv_N007_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N007_12345.qasm,7,161,63,21,903,129.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N007_12345
90,91,qv_N008_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N008_12345.qasm,8,184,96,24,1376,172.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N008_12345
91,92,qv_N009_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N009_12345.qasm,9,207,108,27,1548,172.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N009_12345
92,93,qv_N010_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N010_12345.qasm,10,230,150,30,2150,215.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N010_12345
93,94,qv_N011_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N011_12345.qasm,11,253,165,33,2365,215.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N011_12345
94,95,qv_N012_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N012_12345.qasm,12,276,216,36,3096,258.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N012_12345
95,96,qv_N013_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N013_12345.qasm,13,299,234,39,3354,258.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N013_12345
96,97,qv_N014_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N014_12345.qasm,14,322,294,42,4214,301.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N014_12345
97,98,qv_N015_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N015_12345.qasm,15,345,315,45,4515,301.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N015_12345
98,99,qv_N016_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N016_12345.qasm,16,368,384,48,5504,344.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N016_12345
99,100,qv_N017_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N017_12345.qasm,17,391,408,51,5848,344.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N017_12345
100,101,qv_N018_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N018_12345.qasm,18,414,486,54,6966,387.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N018_12345
101,102,qv_N019_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N019_12345.qasm,19,437,513,57,7353,387.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N019_12345
102,103,qv_N020_12345,qv,local,benchmarks/ai_transpile/qasm/qv/qv_N020_12345.qasm,20,460,600,60,8600,430.0,0.06976744186046512,2026-03-05 20:39:34,,qv_N020_12345
103,104,real_amplitudes_12,real_amplitudes,local,benchmarks/ai_transpile/qasm/real_amplitudes_12.qasm,12,16,22,13,58,4.833333333333333,0.3793103448275862,2026-03-05 20:39:34,,real_amplitudes_12
104,105,real_amplitudes_12_r3,real_amplitudes,local,benchmarks/ai_transpile/qasm/real_amplitudes_12_r3.qasm,12,19,33,15,81,6.75,0.4074074074074074,2026-03-05 20:39:34,,real_amplitudes_12_r3
105,106,real_amplitudes_16_r2,real_amplitudes,local,benchmarks/ai_transpile/qasm/real_amplitudes_16_r2.qasm,16,20,30,17,78,4.875,0.38461538461538464,2026-03-05 20:39:34,,real_amplitudes_16_r2
106,107,real_amplitudes_8,real_amplitudes,local,benchmarks/ai_transpile/qasm/real_amplitudes_8.qasm,8,15,21,11,53,6.625,0.39622641509433965,2026-03-05 20:39:34,,real_amplitudes_8
107,108,real_amplitudes_8_r2,real_amplitudes,local,benchmarks/ai_transpile/qasm/real_amplitudes_8_r2.qasm,8,12,14,9,38,4.75,0.3684210526315789,2026-03-05 20:39:34,,real_amplitudes_8_r2
108,109,square_heisenberg_N16,square-heisenberg,local,benchmarks/ai_transpile/qasm/square-heisenberg/square_heisenberg_N16.qasm,16,361,288,144,1024,64.0,0.28125,2026-03-05 20:39:34,,square_heisenberg_N16
109,110,square_heisenberg_N4,square-heisenberg,local,benchmarks/ai_transpile/qasm/square-heisenberg/square_heisenberg_N4.qasm,4,121,48,48,172,43.0,0.27906976744186046,2026-03-05 20:39:34,,square_heisenberg_N4
110,111,square_heisenberg_N9,square-heisenberg,local,benchmarks/ai_transpile/qasm/square-heisenberg/square_heisenberg_N9.qasm,9,241,144,96,513,57.0,0.2807017543859649,2026-03-05 20:39:34,,square_heisenberg_N9
111,112,artifact_qft_16__tket,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_16/tket.qasm,16,107,240,58,513,32.0625,0.4678362573099415,2026-03-05 20:39:34,tket,qft_16
112,113,artifact_qft_16__qiskit_standard,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_16/qiskit_standard.qasm,16,255,541,160,1138,71.125,0.47539543057996486,2026-03-05 20:39:34,qiskit_standard,qft_16
113,114,artifact_qft_16__wisq_bqskit,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_16/wisq_bqskit.qasm,16,381,259,80,1790,111.875,0.14469273743016758,2026-03-05 20:39:34,wisq_bqskit,qft_16
114,115,artifact_qft_16__wisq_rules,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_16/wisq_rules.qasm,16,341,264,69,1964,122.75,0.13441955193482688,2026-03-05 20:39:34,wisq_rules,qft_16
115,116,artifact_qft_12__tket,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_12/tket.qasm,12,79,132,42,289,24.083333333333332,0.45674740484429066,2026-03-05 20:39:34,tket,qft_12
116,117,artifact_qft_12__qiskit_standard,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_12/qiskit_standard.qasm,12,259,368,159,793,66.08333333333333,0.4640605296343001,2026-03-05 20:39:34,qiskit_standard,qft_12
117,118,artifact_qft_12__qiskit_ai,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_12/qiskit_ai.qasm,12,206,396,148,606,50.5,0.6534653465346535,2026-03-05 20:39:34,qiskit_ai,qft_12
118,119,artifact_qft_12__wisq_bqskit,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_12/wisq_bqskit.qasm,12,331,146,66,937,78.08333333333333,0.15581643543223053,2026-03-05 20:39:35,wisq_bqskit,qft_12
119,120,artifact_qft_12__wisq_rules,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_12/wisq_rules.qasm,12,244,148,48,1069,89.08333333333333,0.1384471468662301,2026-03-05 20:39:35,wisq_rules,qft_12
120,121,artifact_qft_8__tket,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_8/tket.qasm,8,51,56,26,129,16.125,0.43410852713178294,2026-03-05 20:39:35,tket,qft_8
121,122,artifact_qft_8__qiskit_standard,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_8/qiskit_standard.qasm,8,113,107,58,275,34.375,0.3890909090909091,2026-03-05 20:39:35,qiskit_standard,qft_8
122,123,artifact_qft_8__qiskit_ai,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_8/qiskit_ai.qasm,8,55,97,51,105,13.125,0.9238095238095239,2026-03-05 20:39:35,qiskit_ai,qft_8
123,124,artifact_qft_8__wisq_bqskit,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_8/wisq_bqskit.qasm,8,52,48,37,100,12.5,0.48,2026-03-05 20:39:35,wisq_bqskit,qft_8
124,125,artifact_qft_8__wisq_rules,qft,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qft_8/wisq_rules.qasm,8,55,49,37,101,12.625,0.48514851485148514,2026-03-05 20:39:35,wisq_rules,qft_8
125,126,artifact_qpt__tket,feynman,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qpt/tket.qasm,1,4,0,0,4,4.0,0.0,2026-03-05 20:39:35,tket,qpt
126,127,artifact_qpt__qiskit_standard,feynman,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qpt/qiskit_standard.qasm,1,4,0,0,4,4.0,0.0,2026-03-05 20:39:35,qiskit_standard,qpt
127,128,artifact_qpt__qiskit_ai,feynman,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qpt/qiskit_ai.qasm,1,4,0,0,4,4.0,0.0,2026-03-05 20:39:35,qiskit_ai,qpt
128,129,artifact_qaoa_barabasi_albert_N5_3reps__tket,qaoa,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qaoa_barabasi_albert_N5_3reps/tket.qasm,5,82,36,32,138,27.6,0.2608695652173913,2026-03-05 20:39:35,tket,qaoa_barabasi_albert_N5_3reps
129,130,artifact_qaoa_barabasi_albert_N5_3reps__qiskit_standard,qaoa,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qaoa_barabasi_albert_N5_3reps/qiskit_standard.qasm,5,90,52,44,159,31.8,0.3270440251572327,2026-03-05 20:39:35,qiskit_standard,qaoa_barabasi_albert_N5_3reps
130,131,artifact_qaoa_barabasi_albert_N5_3reps__qiskit_ai,qaoa,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qaoa_barabasi_albert_N5_3reps/qiskit_ai.qasm,5,65,54,44,97,19.4,0.5567010309278351,2026-03-05 20:39:35,qiskit_ai,qaoa_barabasi_albert_N5_3reps
131,132,artifact_qaoa_barabasi_albert_N5_3reps__wisq_bqskit,qaoa,artifact,/home/lbaird/repos/qdev-laura/data/artifacts/qaoa_barabasi_albert_N5_3reps/wisq_bqskit.qasm,5,97,29,24,214,42.8,0.13551401869158877,2026-03-05 20:39:35,wisq_bqskit,qaoa_barabasi_albert_N5_3reps
